🔶央视频道🔶,#genre#


CCTV1,http://111.63.117.13:6060/030000001000/CCTV-1-HD/CCTV-1-HD.m3u8
CCTV2,http://111.63.117.13:6060/030000001000/G_CCTV-2/G_CCTV-2.m3u8
CCTV3,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV4,http://111.63.117.13:6060/030000001000/CCTV-4/CCTV-4.m3u8
CCTV5,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8
CCTV5+,http://111.63.117.13:6060/030000001000/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8
CCTV6,http://111.63.117.13:6060/030000001000/CCTV-6/CCTV-6.m3u8
CCTV7,http://111.63.117.13:6060/030000001000/CCTV-7/CCTV-7.m3u8
CCTV8,http://111.63.117.13:6060/030000001000/G_CCTV-8/G_CCTV-8.m3u8
CCTV9,http://111.63.117.13:6060/030000001000/G_CCTV-9/G_CCTV-9.m3u8
CCTV10,http://111.63.117.13:6060/030000001000/CCTV-10/CCTV-10.m3u8
CCTV11,http://111.63.117.13:6060/030000001000/CCTV-11/CCTV-11.m3u8
CCTV12,http://111.63.117.13:6060/030000001000/CCTV-12/CCTV-12.m3u8
CCTV13,http://111.63.117.13:6060/030000001000/CCTV-13/CCTV_13.m3u8
CCTV14,http://111.63.117.13:6060/030000001000/G_CCTV-14/G_CCTV_14.m3u8
CCTV14,http://111.63.117.13:6060/030000001000/G_CCTV-14/G_CCTV-14.m3u8
CCTV15,http://111.63.117.13:6060/030000001000/G_CCTV-15/G_CCTV15.m3u8
CCTV15,http://111.63.117.13:6060/030000001000/G_CCTV-15/G_CCTV-15.m3u8
CCTV17,http://111.63.117.13:6060/030000001000/G_CCTV-17/G_CCTV17.m3u8
CETV1,http://111.63.117.13:6060/030000001000/G_CETV-1/G_CETV-1.m3u8
CETV2,http://111.63.117.13:6060/030000001000/G_CETV-2/G_CETV-2.m3u8
CETV4,http://111.63.117.13:6060/030000001000/G_CETV-4/G_CETV-4.m3u8



CCTV1,http://106.115.24.120:9901/tsfile/live/1000_1.m3u8?key=txiptv$IPTV
CCTV2,http://106.115.24.120:9901/tsfile/live/1001_1.m3u8?key=txiptv$IPTV
CCTV3,http://106.115.24.120:9901/tsfile/live/1002_1.m3u8?key=txiptv$IPTV
CCTV4,http://106.115.24.120:9901/tsfile/live/1003_1.m3u8?key=txiptv$IPTV
CCTV5,http://106.115.24.120:9901/tsfile/live/1004_1.m3u8?key=txiptv$IPTV
CCTV5+,http://139.209.39.235:9901/tsfile/live/0016_1.m3u8?key=txiptv$IPTV
CCTV6,http://106.115.24.120:9901/tsfile/live/0006_1.m3u8?key=txiptv$IPTV
CCTV7,http://106.115.24.120:9901/tsfile/live/0007_1.m3u8?key=txiptv$IPTV
CCTV8,http://106.115.24.120:9901/tsfile/live/0008_1.m3u8?key=txiptv$IPTV
CCTV9,http://106.115.24.120:9901/tsfile/live/0009_1.m3u8?key=txiptv$IPTV
CCTV10,http://106.115.24.120:9901/tsfile/live/0010_1.m3u8?key=txiptv$IPTV
CCTV11,http://106.115.24.120:9901/tsfile/live/0011_1.m3u8?key=txiptv$IPTV
